1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
First Battle of the Marne;Michel-Joseph Maunoury;Karl von Bülow
First Battle of the Marne;Michel-Joseph Maunoury;Max von Hausen
First Battle of the Marne;Michel-Joseph Maunoury;Albrecht of Württemberg
First Battle of the Marne;Michel-Joseph Maunoury;Crown Prince Wilhelm of Germany
First Battle of the Marne;Franchet d'Espèrey;Helmuth von Moltke the Younger
First Battle of the Marne;Franchet d'Espèrey;Alexander von Kluck
First Battle of the Marne;Franchet d'Espèrey;Karl von Bülow
First Battle of the Marne;Franchet d'Espèrey;Max von Hausen
First Battle of the Marne;Franchet d'Espèrey;Albrecht of Württemberg
First Battle of the Marne;Franchet d'Espèrey;Crown Prince Wilhelm of Germany
First Battle of the Marne;Ferdinand Foch;Helmuth von Moltke the Younger
First Battle of the Marne;Ferdinand Foch;Alexander von Kluck
First Battle of the Marne;Ferdinand Foch;Karl von Bülow
First Battle of the Marne;Ferdinand Foch;Max von Hausen
First Battle of the Marne;Ferdinand Foch;Albrecht of Württemberg
First Battle of the Marne;Ferdinand Foch;Crown Prince Wilhelm of Germany
First Battle of the Marne;Fernand de Langle de Cary;Helmuth von Moltke the Younger
First Battle of the Marne;Fernand de Langle de Cary;Alexander von Kluck
First Battle of the Marne;Fernand de Langle de Cary;Karl von Bülow
First Battle of the Marne;Fernand de Langle de Cary;Max von Hausen
First Battle of the Marne;Fernand de Langle de Cary;Albrecht of Württemberg
First Battle of the Marne;Fernand de Langle de Cary;Crown Prince Wilhelm of Germany
First Battle of the Marne;Maurice Sarrail;Helmuth von Moltke the Younger
First Battle of the Marne;Maurice Sarrail;Alexander von Kluck
First Battle of the Marne;Maurice Sarrail;Karl von Bülow
First Battle of the Marne;Maurice Sarrail;Max von Hausen
First Battle of the Marne;Maurice Sarrail;Albrecht of Württemberg
First Battle of the Marne;Maurice Sarrail;Crown Prince Wilhelm of Germany
First Battle of the Marne;John French, 1st Earl of Ypres;Helmuth von Moltke the Younger
First Battle of the Marne;John French, 1st Earl of Ypres;Alexander von Kluck
First Battle of the Marne;John French, 1st Earl of Ypres;Karl von Bülow
First Battle of the Marne;John French, 1st Earl of Ypres;Max von Hausen
First Battle of the Marne;John French, 1st Earl of Ypres;Albrecht of Württemberg
First Battle of the Marne;John French, 1st Earl of Ypres;Crown Prince Wilhelm of Germany
First Battle of the Masurian Lakes;Paul von Hindenburg;Paul von Rennenkampf
First Battle of the Masurian Lakes;Erich Ludendorff;Paul von Rennenkampf
First Battle of the Masurian Lakes;August von Mackensen;Paul von Rennenkampf
First Battle of the Piave River;Otto von Below;Armando Diaz
First Battle of the Piave River;Otto von Below;Mario Nicolis di Robilant
First Battle of the Piave River;Archduke Eugen of Austria;Armando Diaz
First Battle of the Piave River;Archduke Eugen of Austria;Mario Nicolis di Robilant
First Battle of Villers-Bretonneux;John Monash;Georg von der Marwitz
First Battle of Villers-Bretonneux;Henry Arthur Goddard;Georg von der Marwitz
First Battle of Ypres;Joseph Joffre;Erich von Falkenhayn
First Battle of Ypres;Joseph Joffre;Albrecht of Württemberg
First Battle of Ypres;Joseph Joffre;Crown Prince Rupprecht of Bavaria
First Battle of Ypres;Joseph Joffre;Max von Fabeck
First Battle of Ypres;Joseph Joffre;Alexander von Linsingen
First Battle of Ypres;Ferdinand Foch;Erich von Falkenhayn
First Battle of Ypres;Ferdinand Foch;Albrecht of Württemberg
First Battle of Ypres;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
First Battle of Ypres;Ferdinand Foch;Max von Fabeck
First Battle of Ypres;Ferdinand Foch;Alexander von Linsingen
First Battle of Ypres;King Albert I;Erich von Falkenhayn
First Battle of Ypres;King Albert I;Albrecht of Württemberg
First Battle of Ypres;King Albert I;Crown Prince Rupprecht of Bavaria
First Battle of Ypres;King Albert I;Max von Fabeck
First Battle of Ypres;King Albert I;Alexander von Linsingen
First Battle of Ypres;John French, 1st Earl of Ypres;Erich von Falkenhayn
First Battle of Ypres;John French, 1st Earl of Ypres;Albrecht of Württemberg
First Battle of Ypres;John French, 1st Earl of Ypres;Crown Prince Rupprecht of Bavaria
First Battle of Ypres;John French, 1st Earl of Ypres;Max von Fabeck
First Battle of Ypres;John French, 1st Earl of Ypres;Alexander von Linsingen
First Battle of Ķekava;Radko Dimitriev;Oskar von Hutier
First day on the Somme;Douglas Haig;Fritz von Below
First day on the Somme;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
First day on the Somme;Ferdinand Foch;Fritz von Below
First day on the Somme;Émile Fayolle;Fritz von Below
First Riga offensive;Paul von Hindenburg;Mikhail Alekseyev
First Riga offensive;Paul von Hindenburg;Pavel Plehve
First Riga offensive;Paul von Hindenburg;Gleb Vannovsky
First Riga offensive;Erich Ludendorff;Mikhail Alekseyev
First Riga offensive;Erich Ludendorff;Pavel Plehve
First Riga offensive;Erich Ludendorff;Gleb Vannovsky
First Riga offensive;Otto von Below;Mikhail Alekseyev
First Riga offensive;Otto von Below;Pavel Plehve
First Riga offensive;Otto von Below;Gleb Vannovsky
First Riga offensive;Otto von Lauenstein;Mikhail Alekseyev
